periodo,cod_provincia,provincia,cod_depto,departamento,titulares
2013-12-31,06,Buenos Aires,06134,Cañuelas,357
2013-12-31,06,Buenos Aires,06245,Ensenada,407
2013-12-31,06,Buenos Aires,06091,Berazategui,1922
2013-12-31,06,Buenos Aires,06035,Avellaneda,1238
2013-12-31,06,Buenos Aires,06028,Almirante Brown,1925
2013-12-31,06,Buenos Aires,06252,Escobar,863
2013-12-31,06,Buenos Aires,06098,Berisso,796
2013-12-31,06,Buenos Aires,06260,Esteban Echeverría,1210
2013-12-31,06,Buenos Aires,06357,General Pueyrredón,1
2013-12-31,06,Buenos Aires,06805,Tigre,1081
2013-12-31,06,Buenos Aires,06515,Malvinas Argentinas,1245
2013-12-31,06,Buenos Aires,06126,Campana,202
2013-12-31,06,Buenos Aires,06274,Florencio Varela,3038
2013-12-31,06,Buenos Aires,06364,General Rodríguez,672
2013-12-31,06,Buenos Aires,06568,Morón,774
2013-12-31,06,Buenos Aires,06270,Ezeiza,777
2013-12-31,06,Buenos Aires,06490,Lomas de Zamora,2691
2013-12-31,06,Buenos Aires,06882,Zárate,331
2013-12-31,06,Buenos Aires,06658,Quilmes,2394
2013-12-31,06,Buenos Aires,06410,Ituzaingó,547
2013-12-31,06,Buenos Aires,06371,General San Martín,1746
2013-12-31,06,Buenos Aires,06408,Hurlingham,713
2013-12-31,06,Buenos Aires,06329,General Las Heras,86
2013-12-31,06,Buenos Aires,06525,Marcos Paz,456
2013-12-31,06,Buenos Aires,06434,Lanús,1550
2013-12-31,06,Buenos Aires,06840,Tres de Febrero,813
2013-12-31,06,Buenos Aires,06532,Mercedes,167
2013-12-31,06,Buenos Aires,06539,Merlo,1458
2013-12-31,06,Buenos Aires,06441,La Plata,1596
2013-12-31,06,Buenos Aires,06648,Presidente Perón,943
2013-12-31,06,Buenos Aires,06412,José C. Paz,2304
2013-12-31,06,Buenos Aires,06497,Luján,310
2013-12-31,06,Buenos Aires,06749,San Fernando,480
2013-12-31,06,Buenos Aires,06427,La Matanza,6230
2013-12-31,06,Buenos Aires,06778,San Vicente,736
2013-12-31,06,Buenos Aires,06560,Moreno,3174
2013-12-31,06,Buenos Aires,06760,San Miguel,1490
2013-12-31,06,Buenos Aires,06638,Pilar,817
2013-12-31,10,Catamarca,10049,Capital,1016
2013-12-31,22,Chaco,22077,Libertad,19
2013-12-31,22,Chaco,22140,San Fernando,2427
2013-12-31,02,Ciudad de Buenos Aires,02000,"Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9",401
2013-12-31,18,Corrientes,18021,Capital,3130
2013-12-31,30,Entre Ríos,30015,Concordia,1
2013-12-31,30,Entre Ríos,30098,Uruguay,1
2013-12-31,30,Entre Ríos,30084,Paraná,1754
2013-12-31,34,Formosa,34014,Formosa,1292
2013-12-31,46,La Rioja,46014,Capital,1193
2013-12-31,50,Mendoza,50007,Capital,646
2013-12-31,50,Mendoza,50098,San Martín,761
2013-12-31,54,Misiones,54042,Eldorado,597
2013-12-31,54,Misiones,54028,Capital,1792
2013-12-31,66,Salta,66028,Capital,4621
2013-12-31,70,San Juan,70042,Chimbas,669
2013-12-31,70,San Juan,70084,Rivadavia,203
2013-12-31,70,San Juan,70077,Rawson,839
2013-12-31,70,San Juan,70028,Capital,223
2013-12-31,70,San Juan,70098,Santa Lucía,185
2013-12-31,74,San Luis,74056,Juan Martín Pueyrredón,910
2013-12-31,86,Santiago del Estero,86035,Banda,1
2013-12-31,86,Santiago del Estero,86049,Capital,2710
2013-12-31,90,Tucumán,90007,Burruyacú,1
2013-12-31,90,Tucumán,90014,Cruz Alta,2601
2013-12-31,90,Tucumán,90063,Lules,979
2013-12-31,90,Tucumán,90105,Tafí Viejo,1905
2013-12-31,90,Tucumán,90091,Simoca,1181
2013-12-31,90,Tucumán,90084,Capital,7229
2013-12-31,90,Tucumán,90098,Tafí del Valle,1
2014-12-31,06,Buenos Aires,06028,Almirante Brown,2079
2014-12-31,06,Buenos Aires,06274,Florencio Varela,3264
2014-12-31,06,Buenos Aires,06364,General Rodríguez,670
2014-12-31,06,Buenos Aires,06408,Hurlingham,717
2014-12-31,06,Buenos Aires,06134,Cañuelas,352
2014-12-31,06,Buenos Aires,06270,Ezeiza,785
2014-12-31,06,Buenos Aires,06329,General Las Heras,85
2014-12-31,06,Buenos Aires,06357,General Pueyrredón,1
2014-12-31,06,Buenos Aires,06260,Esteban Echeverría,1215
2014-12-31,06,Buenos Aires,06245,Ensenada,409
2014-12-31,06,Buenos Aires,06412,José C. Paz,2365
2014-12-31,06,Buenos Aires,06126,Campana,206
2014-12-31,06,Buenos Aires,06252,Escobar,873
2014-12-31,06,Buenos Aires,06371,General San Martín,1783
2014-12-31,06,Buenos Aires,06035,Avellaneda,1348
2014-12-31,06,Buenos Aires,06091,Berazategui,1922
2014-12-31,06,Buenos Aires,06410,Ituzaingó,557
2014-12-31,06,Buenos Aires,06098,Berisso,813
2014-12-31,06,Buenos Aires,06427,La Matanza,6361
2014-12-31,06,Buenos Aires,06515,Malvinas Argentinas,1265
2014-12-31,06,Buenos Aires,06539,Merlo,1469
2014-12-31,06,Buenos Aires,06805,Tigre,1089
2014-12-31,06,Buenos Aires,06882,Zárate,336
2014-12-31,06,Buenos Aires,06441,La Plata,1722
2014-12-31,06,Buenos Aires,06749,San Fernando,484
2014-12-31,06,Buenos Aires,06490,Lomas de Zamora,2857
2014-12-31,06,Buenos Aires,06760,San Miguel,1607
2014-12-31,06,Buenos Aires,06497,Luján,309
2014-12-31,06,Buenos Aires,06778,San Vicente,750
